Nr	Data Type	Journal Formats	File Format	DataKind
268	NMR Data		graphs	The left ordinate axis presents transmittance (%) or absorbance (for IR spectra) or intensity (for Raman spectra) In NMR spectra, millionths of a field (ppm) are given on the abscissa axis
269	Absorption Coefficient		number	The logarithm of the molar absorption coefficient or, if needed, molar absorption coefficient is presented on the ordinate axis
270	Assays		numbers, tables, CSV, vendor formats, XML	The method of assay and the exact experimental conditions of the assay should be provided as a reference to previous work, with or without modifications, or fully described if a new assay
271	Compound Synthesis Yield		number	The yield of a compound obtained in an NMR tube reaction should be determined using an internal standard
272	Spectra		text, numbers, CSV	They are described in order of decreasing wavenumbers
273	Research Resources		RRID	This journal encourages authors to adopt RRIDs when reporting key biological resources (antibodies, cell lines, model organisms and tools) in their manuscripts.
274	NMR Pulse Sequences		text, tables, vendor formats	This will typically include the pulse sequence code, parameter set, and other associated files, such as tables of gradient or pulse shapes
275	Trait Data		text, XML	Trait data
276	Spectra		text, numbers, CSV, JCAMP-DX, vendor formats	UV-vis
277	Crystal Structure		CIF, CSV	X-ray diffraction may provide the most unambiguous characterization of such compounds, evidence for elemental constitution and homogeneity needs to be presented
278	Powder Diffractograms		CIF, CSV, numbers, graphs, images, vendor formats	X-ray powder diffraction data for new materials or for materials previously uncharacterized by this technique is encouraged
279	Powder Diffractograms		CIF, CSV, numbers, graphs, images, vendor formats	X-ray powder measurements should be accompanied by details of the experimental technique: source of X-rays, the radiation, its wavelength, filters or monochromators, camera diameter, the type of X-ray recording, and the technique for measuring intensities
280	Powder Diffractograms		CIF, CSV, numbers, graphs, images, vendor formats	XRD data are presented as the structural formula of a molecule with numbered atoms or as a crystal lattice and tables
281	Experiment Description		text	a brief description of data collection and solution and refinement of the structure should be placed in the Experimental Section
282	NMR Data		vendor formats, JCAMP-DX, nmrML, mmCIF, PDB	bio-NMR
283	Software		source code	Software / code
284	Computations		numbers, workflows, source code, pseudocode	calculations that are integral to the study (i.e., the precise quantitative results are central to the conclusions drawn); computational details must be described
285	Validation Checks		text, PDF	checkCIF output files (combined into one PDF file)
286	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	chemical compound data
287	NMR Data		CSV, text, tables, graphs	chemical shifts must be available to the reviewer at time of submission, either as an available entry in the Biological Magnetic Resonance Data Bank or included directly as Supporting Information
288	Assays		microarray data, images, FASTA, FASTQ	chromatin immunoprecipitation data (deep-sequencing or microarray)
289	Crystal Structure		CIF	cif
290	Software		source code	code
291	Elemental Analysis Data		tables, CSV	combustion analysis
292	Computations		numbers, workflows, source code, pseudocode	computational details
293	Computations		numbers, workflows, source code, pseudocode	computations
294	Crystal Structure		CIF, mmCIF, PDB	crystal structures
295	Crystal Structure		CIF, mmCIF, PDB	crystallographic data (cell parameters, space group, etc.); the device with which the measurements were performed and the methods (programs) used for decrypting structures and for calculations
296	Material Simulation		numbers, CSV, CIF, vendor formats, XYZ	electronic structure calculations: the geometries (either as Cartesian coordinates or Z matrices) of all the stationary points whose relative energies are given in the manuscript
297	Mathematical Formula		LaTeX, TeX, vendor formats	equations defining the model (or references to where such material is available in the open literature)
298	Computations		numbers, workflows	final output structure(s) or the input structure(s) that would allow another investigator to replicate the computational experiment
299	Force Fields		CSV, software libraries, vendor formats	force field parameters
300	Computations		numbers, workflows	full details of the calculation (e.g., structures, energies, frequencies, dynamical quantities, etc.) in a repository (such as Supporting Information to the paper) that is accessible via the Internet
301	Computations		numbers, workflows	full details of the calculation (e.g., structures, energies, frequencies, dynamical quantities, etc.) in a repository that is accessible via the Internet
302	Gel Electrophoresis		CSV, images, TIFF, JPEG, PNG	gel electrophoresis
303	Gas Chromatography Data		graphs, tables, CSV, vendor formats	glpc
304	HPLC Data		graphs, tables, CSV, vendor formats	hplc
305	Chromatography Data		graphs, tables, CSV, vendor formats	hplc or glpc methods: then retention times for both enantiomers must be provided, together with solvent and flow rate information, and identification of the chiral support
306	Material Characterisation		CSV, text, graphs, tables, vendor formats	imaginary frequencies should be reported to identify stable structures and transition states
307	Macromolecule Sequences		FASTA, FASTQ, CSV	insertions, deletions, translocations
308	Kinetic Measurement Data		CSV, tables, numbers, graphs, vendor formats	kinetic data and equilibrium binding data for proteins, nucleic acids, and other species
309	Thermodynamic Data (ITC)		CSV, tables, numbers, graphs, vendor formats	kinetic data and equilibrium binding data for proteins, nucleic acids, and other species
310	Thermodynamic Data (DSC)		CSV, tables, numbers, graphs, vendor formats	kinetic data and equilibrium binding data for proteins, nucleic acids, and other species
311	Thermodynamic Data (TSA)		CSV, tables, numbers, graphs, vendor formats	kinetic data and equilibrium binding data for proteins, nucleic acids, and other species
312	Mass Spectra		tables, CSV, graphs, vendor formats, mzML	mass spectrometry
313	Experiment Description		text, XML	method of crystallization (solvents; mp; etc.)
314	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	miRNA sequences and annotation
315	Microarray Data		microarray data, images, FASTA, FASTQ, CSV	microarray data
316	Microprobe Analysis		vendor formats, CSV	microprobe analysis
317	Material Characterisation		number	mp (Melting Point? S.G.)
318	Neuroimaging Data		images, DICOM, TIFF	neuroimaging data
319	NMR Pulse Sequences		text, tables, vendor formats	new NMR pulse sequences –  file that includes the original working pulse sequence information required to record data
320	Nomenclature		text, tables, XML, OWL	nomenclature
321	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	nucleic acid sequences
322	Potential Energy Surfaces		tables, CSV, images, graphs	other potential energy surface information
323	Crystal Structure		table, CSV	printed table of structure factors
324	Macromolecule Sequences		FASTA, FASTQ, GebBank, UNiProt	protein sequences
325	Proteomics Data		numbers, tables, CSV, vendor formats, FASTA, mzML	proteomics data
326	Mass Spectra		tables, CSV, graphs, vendor formats, mzML	raw proteomics data
327	Chemical Reaction Data		text, SMILES, InChI, vendor-formats, RXN, SMIRKS	reaction intermediates or intractable mixtures, or unstable species) may be published
328	Device Characterisation		CSV, text, graphs, tables, vendor formats	reporting electrochemical data and setup of batteries
329	Device Characterisation		CSV, text, graphs, tables, vendor formats	reporting the efficiency of solar conversion devices
330	Material Simulation		numbers, CSV, CIF, vendor formats, XYZ	results of electronic structure calculations
331	Spectra		graphs, images	scaled-down photocopies of the experimental spectra
332	Software Citation		citations	software used for calculations must be properly cited
333	Spectra		numbers	spectroscopic data as follows: - In electron spectra, wavelengths (in nm) or wavenumbers (in cm–1 ) are given on the abscissa in ascending order from left to right
334	Experiment Description		numbers	the probe temperature when it is accurately known
